from,to,year,relationship
hoyningen_huene,uni_wien,2010,2
hoyningen_huene,uni_wien,2011,2
fuhrmann,bsis,2013,3
fuhrmann,bsis,2014,3
gruen,hs_rheinmain,2014,3
gruen,hs_rheinmain,2015,3
gruen,hs_rheinmain,2016,3
bohnerth,iu_erfurt,2012,3
bohnerth,iu_erfurt,2013,3
bohnerth,iu_erfurt,2014,3
barzel,lse_london,2014,3
barzel,lse_london,2015,3
hofmann,uni_bamberg,2013,3
hofmann,uni_bamberg,2014,3
hofmann,uni_bamberg,2015,3
wolter,uni_bamberg,2013,3
wolter,uni_bamberg,2014,3
wolter,uni_bamberg,2015,3
wolter,uni_bamberg,2016,3
schaeffer,uni_bielefeld,2013,3
schaeffer,uni_bielefeld,2014,3
schaeffer,uni_bielefeld,2015,3
schaeffer,uni_bielefeld,2016,3
friese,uni_bochum,2012,3
friese,uni_bochum,2013,3
friese,uni_bochum,2014,3
koester,uni_duesseldorf,2013,3
koester,uni_duesseldorf,2014,3
koester,uni_duesseldorf,2015,3
karl,uni_hamburg,2012,3
karl,uni_hamburg,2013,3
karl,uni_hamburg,2014,3
hoyningen_huene,uni_hohenheim,2011,3
hoyningen_huene,uni_hohenheim,2012,3
hoyningen_huene,uni_hohenheim,2013,3
reidinger,uni_hohenheim,2011,3
reidinger,uni_hohenheim,2012,3
reidinger,uni_hohenheim,2013,3
reidinger,uni_hohenheim,2014,3
bisswanger,uni_leipzig,2015,3
bisswanger,uni_leipzig,2016,3
bisswanger,uni_leipzig,2017,3
tropper,uni_leipzig,2014,3
tropper,uni_leipzig,2015,3
tropper,uni_leipzig,2016,3
nicolai,uni_mainz,2012,3
nicolai,uni_mainz,2013,3
nicolai,uni_mainz,2014,3
nicolai,uni_mainz,2015,3
bohnerth,uni_uppsala,2013,3
bohnerth,uni_uppsala,2014,3
bohnerth,uni_uppsala,2015,3
